TItle ,Author,PublicationYear,Genre,Publisher,language,pages,Read,width,thickness,height,Rating
Steve Jobs,Walter Issacson,2011,"technology, biography",Simon & Schuster,English,568,Yes,6.13,1.6,9.25,4.5
Outside Insight,Jorn Lysenggen,2017,business,Penguin,English,320,Yes,6.1,1,8.4,3.5
The Sense of an Ending,Julian Barnes,2011,"novel, mystery",Vintage,English,150,Yes,5.15,0.53,7.98,3.9
Chaos,James Gleick,1988,science,Vintage,English,352,Incomplete,5.5,1.3,8.4,3
Things fall apart,Chinua Achebe,2001,classics,Penguin,English,151,Yes,5.14,0.6,7.93,4.4
Who will cry when you die,Robin Sharma,2003,self-help,Jaico,English,225,Yes,5.31,0.57,6.62,3.5
I Know why the caged birds sings,Maya Angelou,1969,biography,Heinemann,English,244,Yes,5.08,0.67,7.6,3.9
Ikigai,Hector Garcia,2016,self-help,Penguin,English,200,Yes,5,0.9,7.1,3.9
Animal Farm,George Orwell,1945,"fiction, history",Amazing Reads,English,96,Yes,4.25,0.47,7.56,4.1
Dog Fight,Fred Vogelstein,2013,"business, technology",William Collins,English,260,Incomplete,6.42,1.07,9.18,3.6
Creative Confidence,Tom Kelly,2013,self-help,William Collins,English,288,Incomplete,5.66,0.8,8.55,3.9
Homo Deus,Yuval Noah Harari,2015,history,Penguin,English,514,Incomplete,6,1.12,9,4
Atomic Habits,James Clear,2018,"self-help, business",rh,English,320,Yes,6.28,1.1,9.28,4.2
Social Problems in India,Ram Ahuja,2020,non-fiction,Rawat,English,576,Yes,7.99,1.85,10,3.9
Body Language,Allan and Barbara Pease,2004,"self-help, business",Manjul,English,386,Yes,5.31,1.06,7.87,4
Speed Post,Shobha De,1999,novel,Penguin,English,284,Yes,5.66,0.8,8.55,3.7
Lateral Thinking,Edward-de-buno,2015,self-help,Penguin,English,300,No,5.31,0.68,8,3.8
Six Thinking Hats,Edward-de-buno,1999,self-help,Penguin,English,300,No,5.31,0.68,8,3.8
Chanakyas seven secrets of leadership,Radhakrishnan Pillai,2015,"self-help, business",Jaico,English,270,Yes,5.5,0.57,8.5,3.9
The difficulty of being good,Gurucharan Das,2010,"ethics, philosophy",Penguin,English,434,Yes,6.1,1.3,9.3,4.2
My Inventions and other writings- Tesla,Nickola Tesla,2017,classics,Penguin,English,110,Yes,5.5,0.28,8.5,4
Yayati,V.S. Khandekar,1959,"literature, classics",Mehta House,Marathi,457,Yes,5.6,0.98,8.6,4.5
India's Struggle for Independence,Bipin Chandra,2015,history,Penguin,English,600,Yes,5.6,0.98,8.6,4.3
The Plague,Albert Camus,1991,classics,Penguin,English,320,Incomplete,5.2,0.67,7.98,4
India Unbound,Gurucharan Das,2002,economics,Penguin,English,432,Yes,5.1,0.93,8,3.9
The Future of India,Bimal Jalan,2006,economics,Penguin,English,232,Yes,5.1,0.93,8,3.8
Asian Drama- gunnar myrdal,Seth S King,1968,economics,Penguin,English,400,Incomplete,5.9,1.6,8.9,4
Sapiens,Yuval Noah Harari,2018,history,Harper,English,578,Yes,5.9,1.8,8.9,4.4
The little book of happiness,Ruskin bond,2000,self-help,Speaking Tiger,English,158,Yes,5.15,0.53,7.98,3.7
The theory of everything,Stephen Hawking,2006,science,Jaico,English,132,Yes,4.1,0.4,6.9,4.3
The subtle art of not giving a f**k,Mark Mason,2020,self-help,Harper,English,224,yes,5.5,0.81,8.25,4
21 lesssons for 21st century,Yuval Noah Harari,2019,non-fiction,Jonathan Cape,English,416,Yes,6.07,1.07,8.99,4.1
80 Questions to understand India,Murad Ali Baug,2016,non-fiction,Tara,English,224,Yes,5.5,0.81,8.25,3.5
Terms of disservice,Dipyan Ghosh,2016,business,Harper,English,317,Yes,6.28,1.08,9.19,3.9
Illusion ,Richard Back,1989,fiction,Dell,English,192,Yes,4.1,0.5,6.9,4.1
The Argumentative Indian,Amarthya Sen,2006,economics,Picador,English,409,Incomplete,5.5,0.96,8.5,3.8
Everybody loves a good draught,P. Sainath,2017,non-fiction,Penguin,English,512,Yes,5.3,1.2,8.5,4
Punya Bhumi Bharat ,Sudha Murthy,2006,non-fiction,Mehta House,Marathi,168,Yes,5.14,0.6,7.93,4.2
Pele,Pele,2007,biography,Pocket Books,English,368,Yes,5.08,0.04,7.8,4.2
Emotional Intelligence,Daniel Goleman,2005,self-help,Random House,English,352,Yes,5.45,0.84,8.2,4
We are displaced,Malala,2021,non-fiction,W&N,English,224,Yes,5.55,0.8,8.25,3.9
Mrutyunjay,Shivaji Sawant,2014,"fiction, literature",,Marathi,700,Incomplete,7.99,1.85,10,4.3
The bonobo and Atheist,Frans de wall,2014,non-fiction,Norton,English,320,Yes,5.5,0.8,8.3,3.9
1984,George Orwell,1950,non-fiction,Signet,English,328,No,5.43,0.3,8.3,3.5
The hungry tide,Amitav Ghosh,2006,novel,Harper,English,352,Yes,5.69,0.85,8.88,4.6
Jugaad,"Navi, Jaideep and Simone",2012,business,Random House,English,317,No ,6,0.84,9,3.5
From Socrates to Sartre,T Z Lavine,1984,philosophy,Bantam Books,English,426,Incomplete,5.5,0.96,8.5,4.2
Musafir,Achyut Godbole,2017,biography,Manovikas,Marathi,468,Incomplete,5.5,0.96,8.5,4.2
